Doc Name,Intent Phrase,Intent,Sub Intent
07_1251_dispute,claim that in any event were 'unsupported by evidence and wrong',Land_Dispute,claim
07_1251_dispute,believing that he would be promoted to SPO1,Land_Dispute,action
07_1251_dispute,strategy denies [ANSTO] the opportunity,Land_Dispute,description
07_1251_dispute,unable to demonstrate that there was occasioned to him,Land_Dispute,description
06_307_murder,convicted of attempted murder,Murder,judgement_final
06_307_murder,s 501(2) of the Migration Act 1958,Murder,judgement_source
06_307_murder,substantial criminal record,Murder,evidence
06_307_murder,sentenced to imprisonment,Murder,judgement_final
06_307_murder,At the trial Mrs Flowers gave evidence,Murder,evidence
06_307_murder,loaded gun,Murder,weapon
06_307_murder,"discharged the gun, shooting her",Murder,action
06_307_murder,She managed to get hold of the gun,Murder,action
06_307_murder,He followed her from the bedroom,Murder,action
06_307_murder,She escaped from the house.,Murder,action
06_307_murder,was shot accidentally in the ensuing struggle,Murder,action
06_307_murder,s 16 of the Criminal Code 1924,Murder,judgement_source
06_307_murder,the wife's account was likely to be the more reliable,Murder,description
06_307_murder,his intention was to kill himself in front of his wife,Murder,motive
06_307_murder,He was a person who held grudges,Murder,cause
06_307_murder,committed a very serious crime,Murder,description
06_307_murder,no risk of further criminal behaviour,Murder,description
06_525_murder,murder of businessman associated with political party,Murder,description
06_525_murder,Mr Ramesh and his family were murdered,Murder,action
06_525_murder,Evidence before the Tribunal in this respect,Murder,evidence
06_525_murder,s 36(2) of the Act,Murder,judgement_source
06_525_murder,the appellant applied for judicial review,Murder,description
06_525_murder,s 39B of the Judiciary Act 1903,Murder,judgement_source
06_525_murder,police wanted to interview all persons associated with the murder,Murder,description
06_525_murder,police in tamil nadu seeking applicant for questioning,Murder,description
06_525_murder,Ramesh had been murdered and he was associated with the crime,Murder,description
06_525_murder,the appellant was a truthful witness,Murder,witness
06_525_murder,overall his evidence was plausible,Murder,evidence
06_525_murder,he had supplied additional evidence to the tribunal,Murder,evidence
06_842_murder,warrant issued under s 19(9) of the Extradition Act 1998,Murder,judgement_source
06_842_murder,extradition offence being a charge of murder,Murder,judgement_final
06_842_murder,applicant has been unlawfully detained since his arrest,Murder,description
06_842_murder,Adult female body found in shallow grave in desert,Murder,evidence
06_842_murder,postmortem decompositional change,Murder,evidence
06_842_murder,early mummification of the extremities,Murder,evidence
06_842_murder,animal activity and insect activity on body,Murder,evidence
06_842_murder,blood-stained fluid from chest; spleen,Murder,injury
06_842_murder,highly suspicious for homicide,Murder,description
06_842_murder,smothering or a similar form of asphyxiation,Murder,injury
06_842_murder,murder of the deceased female,Murder,action
06_842_murder,issued a provisional arrest warrant under s 12 of the Act,Murder,judgement_source
06_842_murder,he has been physically abused and maltreated,Murder,description
06_842_murder,s 23 of the Federal Court of Australia Act 1976,Murder,judgement_source
06_1346_murder,s 19 of the Extradition Act 1998,Murder,judgement_source
06_1346_murder,Basic Criminal Code of the Republic of Croatia,Murder,judgement_source
06_1346_murder,counts of alleged war crimes,Murder,description
06_1346_murder,"causing death, severe bodily harm or serious damage",Murder,description
06_1346_murder,torture or inhumane treatment,Murder,injury
06_1346_murder,The punishment prescribed for such offence,Murder,judgement_final
06_1346_murder,Article 120 of the Code,Murder,judgement_source
06_1346_murder,dual criminality,Murder,description
06_1346_murder,soliciting or encouraging a person to commit murder,Murder,cause
06_1346_murder,malicious wounding,Murder,injury
06_1346_murder,firing a firearm with reckless disregard for safety,Murder,action
06_1346_murder,s 39B of the Judiciary Act 1903,Murder,judgement_source
06_1387_murder,s 39B of the Judiciary Act 1903,Murder,judgement_source
06_1387_murder,s 475A of the Migration Act,Murder,judgement_source
06_1387_murder,gave him a political profile which put him at risk of harm,Murder,cause
06_1387_murder,"she had witnessed the attack in 1994, but could not recognise the people",Murder,witness
06_1387_murder,the attempt to murder me by JVP supporters,Murder,action
06_1387_murder,Please find below the requisite information that will prove,Murder,evidence
06_1387_murder,bodies of these youths would be discovered burnt or mutilated,Murder,injury
06_1387_murder,I was left to bleed to death,Murder,injury
06_1387_murder,suffering from survivor symptoms of post traumatic disorder and depression,Murder,description
06_1784_murder,s 22(2) of the extradition act 1988,Murder,judgement_source
06_1784_murder,extraditable offence of murder,Murder,judgement_final
06_1784_murder,California Penal Code,Murder,judgement_source
06_1784_murder,in relation to one count of murder,Murder,description
06_1784_murder,the applicant murdered Ms Kristina Garcia,Murder,action
06_1784_murder,"awful killing of a human being, or a fetus",Murder,action
06_1784_murder,with malice aforethought,Murder,weapon
06_1784_murder,applicant made extensive oral submissions,Murder,evidence
06_1784_murder,Witnesses offered by the applicant,Murder,witness
06_1784_murder,would be able to provide evidence in support of his arguments,Murder,evidence
06_1784_murder,s 22(3)(c) of the Act as established in McCrea,Murder,judgement_source
06_1784_murder,aggravating circumstances,Murder,cause
06_1784_murder,The application should be dismissed with costs,Murder,judgement_final
07_659_murder,Migration Act 1958,Murder,judgement_source
07_659_murder,this organisation was disliked by the Hindu majority in the area,Murder,cause
07_659_murder,missing girl was killed by the assistant,Murder,action
07_659_murder,the followers of the politician beat him,Murder,action
07_659_murder,threw stones at the office,Murder,action
07_659_murder,tried to kill him,Murder,action
07_659_murder,the murderer was brought to justice,Murder,description
07_659_murder,s.424A of the Migration Act 1958,Murder,judgement_source
07_723_murder,applicant with lengthy criminal record including conviction for attempted murder,Murder,description
07_723_murder,s 501(2) of the Migration Act 1958,Murder,judgement_source
07_723_murder,convicted in the Supreme Court of Western Australia for the offence of attempted murder,Murder,judgement_final
07_723_murder,said that he intended to kill him,Murder,motive
07_723_murder,attempted to purchase explosives,Murder,description
07_723_murder,armed with a knife,Murder,weapon
07_723_murder,stabbed him six times,Murder,action
07_723_murder,Mr May was taken to hospital,Murder,action
07_723_murder,posterior spinal cord contusion,Murder,injury
07_723_murder,right leg weakness,Murder,injury
07_723_murder,sensory disturbance,Murder,injury
07_723_murder,bladder disturbance,Murder,injury
07_723_murder,assault occasioning bodily harm,Murder,action
07_723_murder,39B of the Judiciary Act 1903,Murder,judgement_source
06_49_corruption,Federal Magistrate,Corruption,institutions
06_49_corruption,the revelation by her of that corruption,Corruption,evidence
06_49_corruption,the appellant's account of what she had done,Corruption,evidence
06_49_corruption,the appellant collected information about corruption,Corruption,description
06_49_corruption,the appellant pay the first respondent's costs,Corruption,judgement_final
06_166_corruption,Federal Magistrates Court,Corruption,institutions
06_166_corruption,She became a Falun Gong leader,Corruption,occupation
06_166_corruption,team members felt anger with corruption and bureaucracy,Corruption,description
06_166_corruption,refused to make a written declaration,Corruption,description
06_166_corruption,due to corruption at the factory,Corruption,description
06_166_corruption,provide oral evidence,Corruption,evidence
06_166_corruption,426A of the Migration Act 1958,Corruption,judgement_source
06_1234_corruption,Wheat Industry Stabilization Act 1948,Corruption,judgement_source
06_1234_corruption,Wheat Marketing Act 1989,Corruption,judgement_source
06_1234_corruption,Wheat Marketing Legislation Amendment Act 1998,Corruption,judgement_source
06_1234_corruption,s 2(3A) of the Royal Commissions Act 1902,Corruption,judgement_source
06_1234_corruption,s 39B(1) and (1A)(c) of the Judiciary Act 1903,Corruption,judgement_source
06_1234_corruption,allegations of fraud and corruption,Corruption,description
06_1234_corruption,administration and management of the Oil-for-Food Programme,Corruption,institutions
06_1234_corruption,agents or contractors engaged in any illicit or corrupt activities,Corruption,description
06_1234_corruption,illicit income totalling about US$1.8 billion from companies,Corruption,finance
06_1234_corruption,largest source of illicit income,Corruption,finance
06_1234_corruption,payments were disguised by various subterfuges,Corruption,description
06_1234_corruption,AWB paid to Alia over $221.7 million,Corruption,finance
06_1234_corruption,AWB made a large number of documents available to the IIC investigators,Corruption,evidence
06_1234_corruption,The evidence before this Court,Corruption,evidence
06_1234_corruption,AWB and Tigris entered into a transaction,Corruption,finance
06_1234_corruption,"evidence that AWB, or any of its employees, had made payments",Corruption,evidence
06_1234_corruption,after sales payments to individuals,Corruption,finance
06_1234_corruption,No one in AWB knew of any money being channeled to the Iraqi regime,Corruption,description
06_1234_corruption,the discharge cost of US$12 pmt was added,Corruption,finance
06_1234_corruption,"AWB paid port fees at the rate of US$1,500 per vessel",Corruption,finance
06_1234_corruption,such payments were "technically in breach of sanctions",Corruption,evidence
06_1234_corruption,The Full Court rejected this approach,Corruption,judgement_final
06_1234_corruption,found nothing that would substantiate claims of fraud or corruption,Corruption,description
08_498_dispute,Dr Gray was a director of Sirtex Medical Limited (Sirtex),Land_Dispute,party
08_498_dispute,UWA decided to initiate proceedings to vindicate its asserted rights to the intellectual property,Land_Dispute,action
08_498_dispute,Intellectual Property Regulations (the IP Regulations),Land_Dispute,judgement_source
08_498_dispute,University of Western Australia Act 1911,Land_Dispute,judgement_source
08_498_dispute,The malice claim attracted a good deal of evidence,Land_Dispute,evidence
08_498_dispute,conflicts which arose between Dr Gray and various individuals in the University,Land_Dispute,party
08_498_dispute,power to make such bylaws is conferred by section 16A(2),Land_Dispute,judgement_source
08_498_dispute,Oxford University Act 1854,Land_Dispute,judgement_source
08_498_dispute,Sections 2 and 3 of the University of Western Australia Act Amendment Act 1929,Land_Dispute,judgement_source
08_498_dispute,there was no satisfactory evidence that they had been promulgated,Land_Dispute,evidence
08_498_dispute,"Dr Gray had recently spoken with Mr James Lennon, the lawyer in charge of intellectual property",Land_Dispute,description
08_498_dispute,"UWA cannot, by regulation, acquire property from its staff members",Land_Dispute,description
08_498_dispute,Section 32 of the 1990 Act provides for disputes,Land_Dispute,judgement_source
08_498_dispute,provide a procedure for determining disputes,Land_Dispute,description
08_498_dispute,associated implied contractual obligation or an incidental equitable obligation,Land_Dispute,description
08_498_dispute,few had specifically addressed ownership disputes,Land_Dispute,evidence
08_498_dispute,no dispute in that case between the parties,Land_Dispute,description
08_498_dispute,a dispute arose as to the operation of the policy,Land_Dispute,description
08_498_dispute,A copy of the agenda was in evidence,Land_Dispute,evidence
08_498_dispute,letter asked Dr Burton to agree not to disclose to the public,Land_Dispute,description
08_1112_dispute,s 51A of the Federal Court of Australia Act 1976,Land_Dispute,judgement_source
08_1112_dispute,s 12GB of the ASIC Act,Land_Dispute,judgement_source
08_1112_dispute,APIR claims various forms of relief against Mr Donald Sharp,Land_Dispute,party
08_1112_dispute,the Financial Services Reform Act,Land_Dispute,judgement_source
08_1112_dispute,Completion Payment is set at the greater of $350K,Land_Dispute,description
08_1112_dispute,the company is looking more like a quality beachside property,Land_Dispute,property
08_1112_dispute,willing to commit to the terms,Land_Dispute,description
08_1112_dispute,a number of factual issues arising out of these communications and meetings which are in dispute,Land_Dispute,description
08_1112_dispute,disputes the terms of this conversation,Land_Dispute,description
08_1112_dispute,resolving the dispute has been agreed in principle,Land_Dispute,action
08_1112_dispute,to leave out of consideration any factual issues which are in dispute,Land_Dispute,description
08_1112_dispute,suggesting ways in which the dispute might be able to be settled,Land_Dispute,action
08_1112_dispute,there are a number of factual issues in dispute,Land_Dispute,claim
08_1112_dispute,to credit in determining issues in dispute,Land_Dispute,action
08_1112_dispute,the allegation cannot be sustained,Land_Dispute,judgement_final
08_1112_dispute,The cross-claim must be dismissed,Land_Dispute,judgement_final
08_125_robbery,s 501(2) of the migration act 1958,Robbery,judgement_source
08_125_robbery,armed robbery and possession of a shortened firearm,Robbery,description
08_125_robbery,s 501(6) of the Migration Act 1958,Robbery,judgement_source
08_125_robbery,applicant has been convicted of several multiple offences including armed robbery,Robbery,description
08_125_robbery,violence was used against victims in at least two of the robberies,Robbery,action
08_125_robbery,effect of the observations is that there is simply no evidence,Robbery,description
08_125_robbery,costs of the application are borne by the first respondent,Robbery,judgement_final
08_125_robbery,s 476A of the Migration Act 1958,Robbery,judgement_source
08_125_robbery,Mr Green was convicted of stealing,Robbery,description
08_125_robbery,Mr Green is contrite about his misdemeanours,Robbery,description
08_125_robbery,the witnesses did not give evidence orally,Robbery,witness
06_1545_corruption,Migration Act 1958,Corruption,judgement_source
06_1545_corruption,which outlined the evidence before the delegate,Corruption,evidence
06_1545_corruption,the above facts and information,Corruption,evidence
06_1545_corruption,The Penal Code 1860,Corruption,judgement_source
06_1545_corruption,we committed to focus on the truth and disclosed all sorts of corruption,Corruption,evidence
06_1545_corruption,The decision of the High Court,Corruption,judgement_final
06_1545_corruption,the [appellant] was very vague indeed about the controversial political events,Corruption,description
06_1545_corruption,Special Power Act 1974,Corruption,judgement_source
06_1545_corruption,Public Safety Act 2000,Corruption,judgement_source
06_1545_corruption,there is credibility in the applicant's post-hearing claim,Corruption,description
06_1545_corruption,all of the claims of the appellant to be regarded as a refugee,Corruption,judgement_final
06_1645_corruption,ss 424A(1) and 425 of the Migration Act 1958 (Cth),Corruption,judgement_source
06_1645_corruption,"In the course of the hearing, the Appellant articulated two further grounds of error",Corruption,description
06_1645_corruption,"the Price Administration Bureau of Suzhou City, Jiangsu Province",Corruption,institution
06_1645_corruption,the Appellant observed extensive corruption throughout the administration,Corruption,description
06_1645_corruption,impossible to completely eradicate the influences of corruption,Corruption,description
06_1645_corruption,influential opposition would significantly constrain public corruption,Corruption,action
06_1645_corruption,a large anti-corruption movement began to take shape,Corruption,description
06_1645_corruption,successfully reduce corruption,Corruption,action
06_1645_corruption,the Appellant experienced 'huge mental pressure',Corruption,description
06_1645_corruption,provided his correct details and explained,Corruption,evidence
06_1645_corruption,the credibility of the Applicant's account,Corruption,evidence
06_1645_corruption,appeal is to be dismissed with costs,Corruption,judgement_final
06_1632_corruption,fear of persecution for reason of membership of particular social group or political opinion,Corruption,action
06_1632_corruption,imputation of political opinion,Corruption,action
06_1632_corruption,tribunal,Corruption,institutions
06_1632_corruption,refugee review tribunal,Corruption,occupation
06_1632_corruption,Convention refugee,Corruption,occupation
06_1632_corruption,application for a protection visa was rejected,Corruption,action
06_1632_corruption,delegate of the Minister,Corruption,occupation
06_1632_corruption,Federal Magistrates Court,Corruption,institutions
06_1632_corruption,various occupations including television commentator and journalist,Corruption,description
06_1632_corruption,Social National Party of Ukraine,Corruption,institutions
06_1632_corruption,suffered persecution and threats from law enforcement agencies,Corruption,description
06_1632_corruption,appellant made additional claims in his oral submissions,Corruption,description
06_1632_corruption,Tribunal made several findings of fact adverse to the appellant,Corruption,description
06_1632_corruption,involvement in the exposure of the oil racket,Corruption,description
06_1632_corruption,"[appellant] was neither a member of the SNPU, nor a political journalist/commentator",Corruption,evidence
06_1632_corruption,concludes that he has no publicly identified political opinions in the party political sense,Corruption,judgement_final
06_1632_corruption,[appellant's] actions were taken as part of his employment ,Corruption,judgement_final
06_1632_corruption,would not give rise to any perception of him as having a 'political opinion' within the meaning of the Convention,Corruption,judgement_final
06_1632_corruption,applicant's fear is unrelated to the membership of any such group,Corruption,judgement_source
06_1632_corruption,the revenge the [appellant] fears is directed specifically at him because of his actions in uncovering their criminal activities,Corruption,judgement_final
07_1100_corruption,Federal Magistrate Barnes,Corruption,occupation
07_1100_corruption,Minister for Immigration and Ethnic Affairs,Corruption,occupation
07_1100_corruption,well-founded fear of persecution because of his political opinion,Corruption,description
07_1100_corruption,member of the Christian-Democratic Party,Corruption,description
07_1100_corruption,threatened and attacked because he was campaigning for the CDPU candidate and against President Kuchma,Corruption,description
07_1100_corruption,424A(1) of the Migration Act 1958,Corruption,judgement_source
07_1100_corruption,appellant provide additional information,Corruption,action
07_1100_corruption,not to grant a protection visa to the appellant,Corruption,action
07_1100_corruption,"ss 424C(1) , 425 (2)(c) and 425 (3) of the Act",Corruption,judgement_source
07_1100_corruption,does not have a well-founded fear of persecution in Ukraine,Corruption,evidence
07_1100_corruption,not a refugee,Corruption,evidence
07_1100_corruption,Tribunal fell into jurisdictional error by deciding not to offer the appellant an oral hearing,Corruption,action
07_1100_corruption,no existing obligation upon the Tribunal to invite the appellant to a hearing and to give evidence and present arguments in relation to the issues under review,Corruption,judgement_final
07_1100_corruption,no lack of procedural fairness was established and Barnes FM dismissed the application,Corruption,judgement_final
07_1100_corruption,second Tribunal made its decision based upon documents provided to the first Tribunal hearing,Corruption,action
07_1100_corruption,decision of the first Tribunal was set aside due to jurisdictional error and the proceedings were remitted for determination according to law,Corruption,judgement_final
07_1100_corruption,s 428 of the Act,Corruption,judgement_source
07_1741_corruption,delegate of respondent minister refused protection visa,Corruption,action
07_1741_corruption,refugee review tribunal,Corruption,occupation
07_1741_corruption,appeal from orders of federal magistrate dismissing application for review,Corruption,action
07_1741_corruption,appellant seeking merits review,Corruption,description
07_1741_corruption,migration law,Corruption,description
07_1741_corruption,application to review the Tribunal's decision be dismissed,Corruption,action
07_1741_corruption,risk of persecution by reason of his membership of a particular social group,Corruption,description
07_1741_corruption,not a credible witness,Corruption,description
07_1741_corruption,"ss 47 , 65 and 414 of the Migration Act 1958",Corruption,judgement_source
07_1741_corruption,Tribunal had failed to consider the appellant's "subjective fear",Corruption,description
07_1741_corruption,appellant claimed that prior to his death in December 1997 his brother had been a lieutenant in the Sri Lankan army,Corruption,description
07_1741_corruption,corruption of certain high-ranking officers who supported the People's Alliance,Corruption,description
07_1741_corruption,appellant claimed that his brother had been engaged in leaking information about the corruption,Corruption,description
07_1741_corruption,contained information about LTTE operations and the corruption of high-ranking officers,Corruption,description
07_1741_corruption,Tribunal rejected the appellant's claims,Corruption,action
07_1741_corruption,Tribunal had considered the matters therein particularised,Corruption,judgement_final
07_1741_corruption,rejected the contention that the appellant had been denied natural justice,Corruption,judgement_final
07_1741_corruption,"As neither preceding ground was made out, ground 3 also failed",Corruption,judgement_final
07_1741_corruption,rejected the contention that the Tribunal had failed to consider subjective fear in relation to a "well-founded fear of persecution",Corruption,judgement_final
07_1893_corruption,claims of harassment and detention by corrupt officials,Corruption,description
07_1893_corruption,both applied for protection visas,Corruption,description
07_1893_corruption,applications were refused by a delegate of the Minister,Corruption,action
07_1893_corruption,applied to the Federal Magistrates Court seeking judicial review of the Tribunal's decision,Corruption,description
07_1893_corruption,no jurisdictional error had been made by the Tribunal and dismissed the application,Corruption,action
07_1893_corruption,forced to close that business because of corrupt officials,Corruption,description
07_1893_corruption,evidence that was given by the appellants at the hearing,Corruption,evidence
07_1893_corruption,evidence from other independent sources about corruption in the People's Republic of China,Corruption,evidence
07_1893_corruption,Any fines that he was required to pay did not remove his ability to earn enough to support himself and his family,Corruption,fine
07_1893_corruption,husband was of no interest to Chinese authorities and was unlikely to be subject to persecution if he were to return to China,Corruption,judgement_final
07_1893_corruption,Tribunal did not consider that exposure of corrupt practices in China could be perceived as a challenge to State authority,Corruption,judgement_final
07_1893_corruption,appellants say that the Tribunal did not recognise or accept that they were the subject of persecution on account of alleged political beliefs or opinions,Corruption,description
08_1270_corruption,refused the application for the protection visa,Corruption,action
08_1270_corruption,victim of corruption at the hands of the local officials,Corruption,description
08_1270_corruption,Hydrology and Water Resource Monitoring Bureau,Corruption,institutions
08_1270_corruption,China Communist Party,Corruption,party
08_1270_corruption,kept this information secret from the public,Corruption,description
08_1270_corruption,urged the government to 'destroy corruption',Corruption,description
08_1270_corruption,arrested on 15 May 2007 and was denounced,Corruption,action
08_1270_corruption,incarcerated in a detention centre,Corruption,action
08_1270_corruption,Tribunal had 'quite clearly' relied upon the appellant's own evidence,Corruption,evidence
08_1270_corruption,erred in finding that the Tribunal had considered the appellant's review application properly,Corruption,description
08_1270_corruption,erred in not finding that the Tribunal had failed to comply with s 424AA of the Act,Corruption,description
08_1270_corruption,erred in not finding that the Tribunal had failed to comply with s 424A(1) of the Act,Corruption,description
08_1270_corruption,no basis for conducting a judicial review,Corruption,judgement_final
08_1270_corruption,rejects the appellant's first ground of appeal,Corruption,judgement_final
08_1270_corruption,section 425,Corruption,judgement_source
08_1270_corruption,s 424AA of the Act,Corruption,judgement_source
08_1270_corruption,second ground of appeal is accordingly rejected,Corruption,judgement_final
08_1270_corruption,s 424A(1) of the Act,Corruption,judgement_source
08_1270_corruption,dismissed with costs,Corruption,fine
06_267_dispute,large corporate group,Land_Dispute,party
06_267_dispute,inter-group transactions undertaken over six consecutive fiscal years,Land_Dispute,description
06_267_dispute,transactions involving inter-group interest,Land_Dispute,description
06_267_dispute,transfers of tax losses arising out of those borrowings,Land_Dispute,evidence
06_267_dispute,prior primary and appellate claims by proceedings in federal court,Land_Dispute,claim
06_267_dispute,made by borrowing member against the commissioner,Land_Dispute,party
06_267_dispute,interest deductibility in respect of one fiscal year,Land_Dispute,final_jugdgement
06_267_dispute,findings made in context of those proceedings,Land_Dispute,evidence
06_267_dispute,assessability to tax of that group member in respect of some transactions for differing fiscal years,Land_Dispute,description
06_267_dispute,authority in australian courts of earlier decisions,Land_Dispute,party
06_267_dispute,summary judgment application of commissioner granted,Land_Dispute,judgement_final
06_267_dispute,income tax,Land_Dispute,evidence
06_267_dispute,text to the principal proceedings and to the Commissioner's application for summar,Land_Dispute,evidence
06_267_dispute,Part IVC of the Taxation Administration Act 1953,Land_Dispute,judgement_source
06_267_dispute,the Administration Act,Land_Dispute,judgement_source
06_267_dispute,determinations by the respondent Commissioner of Taxation,Land_Dispute,action
06_267_dispute,objections lodged by the taxpayer applicants,Land_Dispute,action
06_267_dispute,deductibility of the interest expense incurred by Spassked,Land_Dispute,action
06_267_dispute,Income Tax Assessment Act 1936,Land_Dispute,judgement_source
06_267_dispute,the Commissioner issued assessments against Spassked,Land_Dispute,action
06_267_dispute,disallowed the deductions for the interest originally claimed,Land_Dispute,action
06_267_dispute,declarations that the applicant taxpayers are estopped from advancing,Land_Dispute,judgement_final
06_267_dispute,by reason of the outcome of the earlier concluded Spassked proceedings,Land_Dispute,description
06_267_dispute,A subsequent application by Spassked for leave to appeal to the High Court,Land_Dispute,action
06_404_dispute,three different groups of applicants encompassed within,Land_Dispute,party
06_404_dispute,Court ordered that the Orders of a Registrar of the Court made,Land_Dispute,action
06_404_dispute,Pursuant to section 67 of the Native Title Act 1993,Land_Dispute,judgement_source
06_404_dispute,Order 29 rule 5 of the Federal Co,Land_Dispute,judgement_source
06_404_dispute,The members of this native title claim group are said to be the descendents of persons,Land_Dispute,description
06_404_dispute,they would regard a native title determination,Land_Dispute,description
06_404_dispute,the parties in their submissions said that all evidence,Land_Dispute,description
06_404_dispute,be more 'site specific' when addressing issues of extinguishment,Land_Dispute,description
06_404_dispute,The native title rights and interests that exist in relation to each part,Land_Dispute,evidence
06_404_dispute,The applicants later tendered an anthropology report,Land_Dispute,action
06_404_dispute,but limited to its use pursuant to s 136 of the Evidence Act 1995 (Cth),Land_Dispute,judgement_source
06_404_dispute,extensive documentary material filed in support of the report of Ms Wilson,Land_Dispute,evidence
06_404_dispute,written closing submissions were submitted jointly by Defence Housing Authority,Land_Dispute,action
06_404_dispute,The 'men only' evidence was to be transcribed by a man,Land_Dispute,evidence
06_404_dispute,upon acquisition of sovereignty over a particular part of Australia,Land_Dispute,description
06_404_dispute,where an application lodged before 30 September 1998 has been amended,Land_Dispute,action
06_404_dispute,subsequent to the commencement of the amending Act,Land_Dispute,judgement_source
06_404_dispute,obviously has played an instrumental role in the increased awareness,Land_Dispute,description
